Cod_atv;Atividade de Divulgação - SCN 2010;Cod_CNAE;Classe Cnae 2.0 (4 dígitos)
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7721;Aluguel de equipamentos recreativos e esportivos
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7722;Aluguel de fitas de vídeo, DVDs e similares
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7723;Aluguel de objetos do vestuário, jóias e acessórios
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7729;Aluguel de objetos pessoais e domésticos não especificados anteriormente
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7731;Aluguel de máquinas e equipamentos agrícolas sem operador
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7732;Aluguel de máquinas e equipamentos para construção sem operador
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7733;Aluguel de máquinas e equipamentos para escritório
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7739;Aluguel de máquinas e equipamentos não especificados anteriormente
7700;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;7740;Gestão de ativos intangíveis não-financeiros
7880;Outras atividades administrativas e serviços complementares;7810;Seleção e agenciamento de mão-de-obra
7880;Outras atividades administrativas e serviços complementares;7820;Locação de mão-de-obra temporária
7880;Outras atividades administrativas e serviços complementares;7830;Fornecimento e gestão de recursos humanos para terceiros
7880;Outras atividades administrativas e serviços complementares;7911;Agências de viagens
7880;Outras atividades administrativas e serviços complementares;7912;Operadores turísticos
7880;Outras atividades administrativas e serviços complementares;7990;Serviços de reservas e outros serviços de turismo não especificados anteriormente
7880;Outras atividades administrativas e serviços complementares;8111;Serviços combinados para apoio a edifícios, exceto condomínios prediais
7880;Outras atividades administrativas e serviços complementares;8112;Condomínios prediais
7880;Outras atividades administrativas e serviços complementares;8121;Limpeza em prédios e em domicílios
7880;Outras atividades administrativas e serviços complementares;8122;Imunização e controle de pragas urbanas
7880;Outras atividades administrativas e serviços complementares;8129;Atividades de limpeza não especificadas anteriormente
7880;Outras atividades administrativas e serviços complementares;8130;Atividades paisagísticas
7880;Outras atividades administrativas e serviços complementares;8211;Serviços combinados de escritório e apoio administrativo
7880;Outras atividades administrativas e serviços complementares;8219;Fotocópias, preparação de documentos e outros serviços especializados de apoio administrativo
7880;Outras atividades administrativas e serviços complementares;8220;Atividades de teleatendimento
7880;Outras atividades administrativas e serviços complementares;8230;Atividades de organização de eventos, exceto culturais e esportivos
7880;Outras atividades administrativas e serviços complementares;8291;Atividades de cobrança e informações cadastrais
7880;Outras atividades administrativas e serviços complementares;8292;Envasamento e empacotamento sob contrato
7880;Outras atividades administrativas e serviços complementares;8299;Atividades de serviços prestados principalmente às empresas não especificadas anteriormente
8000;Atividades de vigilância, segurança e investigação;8011;Atividades de vigilância e segurança privada
8000;Atividades de vigilância, segurança e investigação;8012;Atividades de transporte de valores
8000;Atividades de vigilância, segurança e investigação;8020;Atividades de monitoramento de sistemas de segurança
8000;Atividades de vigilância, segurança e investigação;8030;Atividades de investigação particular
8400;Administração pública, defesa e seguridade social;8411;Administração pública em geral
8400;Administração pública, defesa e seguridade social;8412;Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais
8400;Administração pública, defesa e seguridade social;8413;Regulação das atividades econômicas
8400;Administração pública, defesa e seguridade social;8421;Relações exteriores
8400;Administração pública, defesa e seguridade social;8422;Defesa
8400;Administração pública, defesa e seguridade social;8423;Justiça
8400;Administração pública, defesa e seguridade social;8424;Segurança e ordem pública
8400;Administração pública, defesa e seguridade social;8425;Defesa Civil
8400;Administração pública, defesa e seguridade social;8430;Seguridade social obrigatória
8591;Educação pública;8511;Educação infantil - creche
8591;Educação pública;8512;Educação infantil - pré-escola
8591;Educação pública;8513;Ensino fundamental
8591;Educação pública;8520;Ensino médio
8591;Educação pública;8531;Educação superior - graduação
8591;Educação pública;8532;Educação superior - graduação e pós-graduação
8591;Educação pública;8533;Educação superior - pós-graduação e extensão
8591;Educação pública;8541;Educação profissional de nível técnico
8591;Educação pública;8542;Educação profissional de nível tecnológico
8591;Educação pública;8550;Atividades de apoio à educação
8591;Educação pública;8591;Ensino de esportes
8591;Educação pública;8592;Ensino de arte e cultura
8591;Educação pública;8593;Ensino de idiomas
8591;Educação pública;8599;Atividades de ensino não especificadas anteriormente
8592;Educação privada;8511;Educação infantil - creche
8592;Educação privada;8512;Educação infantil - pré-escola
8592;Educação privada;8513;Ensino fundamental
8592;Educação privada;8520;Ensino médio
8592;Educação privada;8531;Educação superior - graduação
8592;Educação privada;8532;Educação superior - graduação e pós-graduação
8592;Educação privada;8533;Educação superior - pós-graduação e extensão
8592;Educação privada;8541;Educação profissional de nível técnico
8592;Educação privada;8542;Educação profissional de nível tecnológico
8592;Educação privada;8550;Atividades de apoio à educação
8592;Educação privada;8591;Ensino de esportes
8592;Educação privada;8592;Ensino de arte e cultura
8592;Educação privada;8593;Ensino de idiomas
8592;Educação privada;8599;Atividades de ensino não especificadas anteriormente
8691;Saúde pública;8610;Atividades de atendimento hospitalar
8691;Saúde pública;8621;Serviços móveis de atendimento a urgências
8691;Saúde pública;8622;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências
8691;Saúde pública;8630;Atividades de atenção ambulatorial executadas por médicos e odontólogos
8691;Saúde pública;8640;Atividades de serviços de complementação diagnóstica e terapêutica
8691;Saúde pública;8650;Atividades de profissionais da área de saúde, exceto médicos e odontólogos
8691;Saúde pública;8660;Atividades de apoio à gestão de saúde
8691;Saúde pública;8690;Atividades de atenção à saúde humana não especificadas anteriormente
8691;Saúde pública;8711;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares
8691;Saúde pública;8712;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio
8691;Saúde pública;8720;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
8691;Saúde pública;8730;Atividades de assistência social prestadas em residências coletivas e particulares
8692;Saúde privada;8610;Atividades de atendimento hospitalar
8692;Saúde privada;8621;Serviços móveis de atendimento a urgências
8692;Saúde privada;8622;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências
8692;Saúde privada;8630;Atividades de atenção ambulatorial executadas por médicos e odontólogos
8692;Saúde privada;8640;Atividades de serviços de complementação diagnóstica e terapêutica
8692;Saúde privada;8650;Atividades de profissionais da área de saúde, exceto médicos e odontólogos
8692;Saúde privada;8660;Atividades de apoio à gestão de saúde
8692;Saúde privada;8690;Atividades de atenção à saúde humana não especificadas anteriormente
8692;Saúde privada;8711;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares
8692;Saúde privada;8712;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio
8692;Saúde privada;8720;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química
8692;Saúde privada;8730;Atividades de assistência social prestadas em residências coletivas e particulares
8692;Saúde privada;8800;Serviços de assistência social sem alojamento
9080;Atividades artísticas, criativas e de espetáculos;9001;Artes cênicas, espetáculos e atividades complementares
9080;Atividades artísticas, criativas e de espetáculos;9002;Criação artística
9080;Atividades artísticas, criativas e de espetáculos;9003;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas
9080;Atividades artísticas, criativas e de espetáculos;9101;Atividades de bibliotecas e arquivos
9080;Atividades artísticas, criativas e de espetáculos;9102;Atividades de museus e de exploração, restauração artística e conservação de lugares e prédios históricos e atrações similares
9080;Atividades artísticas, criativas e de espetáculos;9103;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental
9080;Atividades artísticas, criativas e de espetáculos;9200;Atividades de exploração de jogos de azar e apostas
9080;Atividades artísticas, criativas e de espetáculos;9311;Gestão de instalações de esportes
9080;Atividades artísticas, criativas e de espetáculos;9312;Clubes sociais, esportivos e similares
9080;Atividades artísticas, criativas e de espetáculos;9313;Atividades de condicionamento físico
9080;Atividades artísticas, criativas e de espetáculos;9319;Atividades esportivas não especificadas anteriormente
9080;Atividades artísticas, criativas e de espetáculos;9321;Parques de diversão e parques temáticos
9080;Atividades artísticas, criativas e de espetáculos;9329;Atividades de recreação e lazer não especificadas anteriormente
9480;Organizações associativas e outros serviços pessoais;9411;Atividades de organizações associativas patronais e empresariais
9480;Organizações associativas e outros serviços pessoais;9412;Atividades de organizações associativas profissionais
9480;Organizações associativas e outros serviços pessoais;9420;Atividades de organizações sindicais
9480;Organizações associativas e outros serviços pessoais;9430;Atividades de associações de defesa de direitos sociais
9480;Organizações associativas e outros serviços pessoais;9491;Atividades de organizações religiosas
9480;Organizações associativas e outros serviços pessoais;9492;Atividades de organizações políticas
9480;Organizações associativas e outros serviços pessoais;9493;Atividades de organizações associativas ligadas à cultura e à arte
9480;Organizações associativas e outros serviços pessoais;9499;Atividades associativas não especificadas anteriormente
9480;Organizações associativas e outros serviços pessoais;9511;Reparação e manutenção de computadores e de equipamentos periféricos
9480;Organizações associativas e outros serviços pessoais;9512;Reparação e manutenção de equipamentos de comunicação
9480;Organizações associativas e outros serviços pessoais;9521;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
9480;Organizações associativas e outros serviços pessoais;9529;Reparação e manutenção de objetos e equipamentos pessoais e domésticos não especificados anteriormente
9480;Organizações associativas e outros serviços pessoais;9601;Lavanderias, tinturarias e toalheiros
9480;Organizações associativas e outros serviços pessoais;9602;Cabeleireiros e outras atividades de tratamento de beleza
9480;Organizações associativas e outros serviços pessoais;9603;Atividades funerárias e serviços relacionados
9480;Organizações associativas e outros serviços pessoais;9609;Atividades de serviços pessoais não especificadas anteriormente
9700;Serviços domésticos;9700;Serviços domésticos
